Rank,Player,POS,Bye,Team
1,Ja'Marr Chase,WR1,10,CIN
2,Bijan Robinson,RB1,5,ATL
3,Saquon Barkley,RB2,9,PHI
4,Jahmyr Gibbs,RB3,8,DET
5,Justin Jefferson,WR2,6,MIN
6,CeeDee Lamb,WR3,10,DAL
7,Puka Nacua,WR4,8,LAR
8,Amon-Ra St. Brown,WR5,8,DET
9,Malik Nabers,WR6,14,NYG
10,Ashton Jeanty,RB4,8,LV
11,Christian McCaffrey,RB5,14,SF
12,Derrick Henry,RB6,7,BAL
13,Nico Collins,WR7,6,HOU
14,Brian Thomas Jr.,WR8,8,JAC
15,De'Von Achane,RB7,12,MIA
16,Brock Bowers,TE1,8,LV
17,Bucky Irving,RB8,9,TB
18,Josh Jacobs,RB9,5,GB
19,Drake London,WR9,5,ATL
20,A.J. Brown,WR10,9,PHI
21,Jonathan Taylor,RB10,11,IND
22,Chase Brown,RB11,10,CIN
23,Josh Allen,QB1,7,BUF
24,Lamar Jackson,QB2,7,BAL
25,Ladd McConkey,WR11,12,LAC
26,Trey McBride,TE2,8,ARI
27,Kyren Williams,RB12,8,LAR
28,Tyreek Hill,WR12,12,MIA
29,Jayden Daniels,QB3,12,WAS
30,Jaxon Smith-Njigba,WR13,8,SEA
31,Breece Hall,RB13,9,NYJ
32,Tee Higgins,WR14,10,CIN
33,James Cook,RB14,7,BUF
34,Garrett Wilson,WR15,9,NYJ
35,Omarion Hampton,RB15,12,LAC
36,Joe Burrow,QB4,10,CIN
37,Alvin Kamara,RB16,11,NO
38,Marvin Harrison Jr.,WR16,8,ARI
39,George Kittle,TE3,14,SF
40,Jalen Hurts,QB5,9,PHI
41,Davante Adams,WR17,8,LAR
42,Terry McLaurin,WR18,12,WAS
43,Kenneth Walker III,RB17,8,SEA
44,Mike Evans,WR19,9,TB
45,Chuba Hubbard,RB18,14,CAR
46,DJ Moore,WR20,5,CHI
47,Rashee Rice,WR21,10,KC
48,James Conner,RB19,8,ARI
49,DK Metcalf,WR22,5,PIT
50,Courtland Sutton,WR23,12,DEN
51,TreVeyon Henderson,RB20,14,NE
52,DeVonta Smith,WR24,9,PHI
53,RJ Harvey,RB21,12,DEN
54,Tetairoa McMillan,WR25,14,CAR
55,David Montgomery,RB22,8,DET
56,Sam LaPorta,TE4,8,DET
57,Joe Mixon,RB23,6,HOU
58,Patrick Mahomes II,QB6,10,KC
59,D'Andre Swift,RB24,5,CHI
60,Xavier Worthy,WR26,10,KC
61,Jameson Williams,WR27,8,DET
62,Zay Flowers,WR28,7,BAL
63,Isiah Pacheco,RB25,10,KC
64,Aaron Jones Sr.,RB26,6,MIN
65,George Pickens,WR29,10,DAL
66,Calvin Ridley,WR30,10,TEN
67,T.J. Hockenson,TE5,6,MIN
68,Tony Pollard,RB27,10,TEN
69,Travis Hunter,WR31,8,JAC
70,Kaleb Johnson,RB28,5,PIT
71,Jerry Jeudy,WR32,9,CLE
72,Travis Kelce,TE6,10,KC
73,Baker Mayfield,QB7,9,TB
74,Jaylen Waddle,WR33,12,MIA
75,Chris Olave,WR34,11,NO
76,Chris Godwin,WR35,9,TB
77,Tyrone Tracy Jr.,RB29,14,NYG
78,Jordan Addison,WR36,6,MIN
79,Bo Nix,QB8,12,DEN
80,Rome Odunze,WR37,5,CHI
81,Brian Robinson Jr.,RB30,12,WAS
82,Jaylen Warren,RB31,5,PIT
83,Deebo Samuel Sr.,WR38,12,WAS
84,Mark Andrews,TE7,7,BAL
85,Stefon Diggs,WR39,14,NE
86,Cooper Kupp,WR40,8,SEA
87,Evan Engram,TE8,12,DEN
88,Quinshon Judkins,RB32,9,CLE
89,Jakobi Meyers,WR41,8,LV
90,Travis Etienne Jr.,RB33,8,JAC
91,Kyler Murray,QB9,8,ARI
92,Matthew Golden,WR42,5,GB
93,Khalil Shakir,WR43,7,BUF
94,Ricky Pearsall,WR44,14,SF
95,Jauan Jennings,WR45,14,SF
96,Javonte Williams,RB34,10,DAL
97,Jared Goff,QB10,8,DET
98,Jordan Mason,RB35,6,MIN
99,David Njoku,TE9,9,CLE
100,Zach Charbonnet,RB36,8,SEA
101,Cam Skattebo,RB37,14,NYG
102,Jayden Reed,WR46,5,GB
103,Najee Harris,RB38,12,LAC
104,Tyler Warren,TE10,11,IND
105,Dak Prescott,QB11,10,DAL
106,Caleb Williams,QB12,5,CHI
107,Rhamondre Stevenson,RB39,14,NE
108,Emeka Egbuka,WR47,9,TB
109,Tyjae Spears,RB40,10,TEN
110,Josh Downs,WR48,11,IND
111,Colston Loveland,TE11,5,CHI
112,Justin Herbert,QB13,12,LAC
113,Brock Purdy,QB14,14,SF
114,Jonnu Smith,TE12,5,PIT
115,Brandon Aiyuk,WR49,14,SF
116,J.K. Dobbins,RB41,12,DEN
117,Michael Pittman Jr.,WR50,11,IND
118,Justin Fields,QB15,9,NYJ
119,Tucker Kraft,TE13,5,GB
120,Tank Bigsby,RB42,8,JAC
121,Darnell Mooney,WR51,5,ATL
122,Keon Coleman,WR52,7,BUF
123,Jake Ferguson,TE14,10,DAL
124,Jayden Higgins,WR53,6,HOU
125,Jaydon Blue,RB43,10,DAL
126,Rachaad White,RB44,9,TB
127,Drake Maye,QB16,14,NE
128,Dalton Kincaid,TE15,7,BUF
129,C.J. Stroud,QB17,6,HOU
130,Jordan Love,QB18,5,GB
131,Austin Ekeler,RB45,12,WAS
132,Jerome Ford,RB46,9,CLE
133,J.J. McCarthy,QB19,6,MIN
134,Marvin Mims Jr.,WR54,12,DEN
135,Kyle Pitts Sr.,TE16,5,ATL
136,Trey Benson,RB47,8,ARI
137,Isaac Guerendo,RB48,14,SF
138,Ray Davis,RB49,7,BUF
139,Dallas Goedert,TE17,9,PHI
140,Tre' Harris,WR55,12,LAC
141,Luther Burden III,WR56,5,CHI
142,Rico Dowdle,RB50,14,CAR
143,Rashid Shaheed,WR57,11,NO
144,Bhayshul Tuten,RB51,8,JAC
145,Trevor Lawrence,QB20,8,JAC
146,Christian Kirk,WR58,6,HOU
